,element_count,column_count,array_time,pandas_df_time,pandas_df_compute,spark_df_time,spark_df_compute
1,10,1,1.87E-05,7.50E-05,0.009079422,0.019543472,0.145106783
2,10,10,1.63E-05,8.08E-05,0.018445652,0.016098103,0.269729234
3,100,1,1.73E-05,0.000104038,0.003651995,0.022304701,0.148595091
4,100,10,1.51E-05,7.90E-05,0.021136889,0.017101071,0.238479474
5,100,100,1.93E-05,5.11E-05,0.168626409,0.026493899,2.272048567
6,1000,1,1.98E-05,5.27E-05,0.003644434,0.063989631,0.251864992
7,1000,10,3.20E-05,8.97E-05,0.019511806,0.041641959,0.369599
8,1000,100,3.18E-05,9.75E-05,0.163947147,0.063067567,2.631972632
9,1000,1000,3.14E-05,9.47E-05,1.631646083,0.163517058,26.55356726
10,10000,1,0.000150578,8.14E-05,0.005548536,0.170376882,0.163236381
11,10000,10,0.000157748,8.33E-05,0.019093559,0.077259292,0.298810243
12,10000,100,0.000157671,7.85E-05,0.165296289,0.077232394,2.216758018
13,10000,1000,0.000106229,5.30E-05,1.653883795,0.1984634,26.20325017
14,100000,1,0.001564877,8.61E-05,0.010468519,1.553755638,0.193736222
15,100000,10,0.001567548,8.75E-05,0.023343267,0.617189169,0.258258325
16,100000,100,0.001486103,8.25E-05,0.173380244,0.53845788,2.631649924
17,100000,1000,0.001360724,7.65E-05,1.640617489,0.685724294,26.96514565
18,1000000,1,0.015290159,8.64E-05,0.037248558,15.4556986,0.840392022
19,1000000,10,0.010505396,5.28E-05,0.07239414,6.04306947,0.448107424
20,1000000,100,0.010519699,5.32E-05,0.223574803,5.117779131,2.886335109
21,1000000,1000,0.010460212,5.26E-05,1.707227546,5.488065769,33.54286422
22,10000000,1,0.098503743,5.32E-05,0.385361583,153.6958306,7.06471397
23,10000000,10,0.100030046,5.31E-05,0.712727212,60.03907838,1.957918175
24,10000000,100,0.1002133,5.37E-05,0.746423246,50.97497574,6.207567219
25,10000000,1000,0.100039874,5.29E-05,2.184825574,52.84798566,39.07376498
