,element_count,column_count,array_time,pandas_df_time,pandas_df_compute,spark_df_time,spark_df_compute
1,10,1,1.59E-05,8.66E-05,0.000164742,0.022696535,0.009105266
2,10,10,2.33E-05,5.35E-05,0.000197281,0.020279678,0.036130785
3,100,1,1.06E-05,5.48E-05,0.000109862,0.020154889,0.006928848
4,100,10,1.48E-05,5.30E-05,0.000198915,0.021010177,0.028789452
5,100,100,1.82E-05,5.13E-05,0.000365474,0.033340218,0.232131944
6,1000,1,1.96E-05,5.21E-05,0.000113513,0.071690177,0.019273286
7,1000,10,3.40E-05,9.84E-05,0.000250785,0.046933002,0.066892602
8,1000,100,2.99E-05,9.99E-05,0.000633383,0.064006151,0.286306225
9,1000,1000,3.06E-05,9.00E-05,0.00412907,0.213158474,2.038037795
10,10000,1,0.000106899,5.12E-05,0.000136828,0.171806193,0.006179499
11,10000,10,0.000199142,0.000114861,0.000166596,0.076497201,0.023027986
12,10000,100,0.000106747,5.20E-05,0.000347426,0.07952071,0.171312655
13,10000,1000,0.000110793,5.24E-05,0.002303582,0.190846671,2.083223634
14,100000,1,0.001052985,5.13E-05,0.000301154,1.534527366,0.006514092
15,100000,10,0.001083749,5.16E-05,0.000362213,0.626080429,0.022630996
16,100000,100,0.001079802,5.16E-05,0.000522214,0.5395547,0.178269183
17,100000,1000,0.001074848,5.15E-05,0.002491715,0.666029862,2.097672758
18,1000000,1,0.01013124,5.23E-05,0.001902079,15.28184588,0.005423635
19,1000000,10,0.01088944,5.12E-05,0.003202172,5.999159713,0.021435028
20,1000000,100,0.010708728,5.12E-05,0.002692618,5.099025659,0.182685123
21,1000000,1000,0.01074598,5.23E-05,0.005001044,5.44553026,1.97975756
22,10000000,1,0.09844841,5.27E-05,0.017112639,152.6542141,0.005075206
23,10000000,10,0.105736306,5.11E-05,0.066162778,59.793037,0.019475144
24,10000000,100,0.104557885,5.13E-05,0.047433893,50.6566934,0.193599893
25,10000000,1000,0.105922638,5.17E-05,0.03356978,53.53937325,2.110142196
