,element_count,column_count,array_time,pandas_df_time,pandas_df_compute,spark_df_time,spark_df_compute
0,1,1,2.32E-05,5.14E-05,0.000165166,0.017200376,0.005173338
1,10,1,9.92E-06,5.40E-05,0.000111969,0.020570126,0.004964487
2,10,10,9.87E-06,5.27E-05,0.000134236,0.015756039,0.01205745
3,100,1,2.49E-05,7.91E-05,0.000224089,0.014046369,0.004054377
4,100,10,1.07E-05,5.28E-05,0.000134293,0.015236561,0.013830838
5,100,100,1.10E-05,5.38E-05,0.000364797,0.030316245,0.110124532
6,2.82E-05,1,1000,0.000103252,5.04E-05,0.003798435,0.028346588
7,1.88E-05,10,1000,0.000183631,5.03E-05,0.019821764,0.01854735
8,2.00E-05,100,1000,0.000360163,5.02E-05,0.1742013,0.029536769
9,2.01E-05,1000,1000,0.002081111,5.13E-05,1.968934895,0.142891566
10,0.000105862,1,10000,0.000109842,5.28E-05,0.003811836,0.165342893
11,0.000102529,10,10000,0.000194987,5.06E-05,0.019682021,0.073473739
12,0.000102248,100,10000,0.000294048,5.26E-05,0.173110368,0.075521963
13,0.000101132,1000,10000,0.002237037,5.04E-05,1.955126267,0.189042522
14,0.001056703,1,100000,0.000212968,5.08E-05,0.004650258,1.533727155
15,0.001040839,10,100000,0.000243246,5.07E-05,0.019331801,0.613394903
16,0.00145758,100,100000,0.000706666,7.00E-05,0.178373906,0.529509328
17,0.001018768,1000,100000,0.00221491,5.12E-05,2.032434996,0.658502865
18,0.010183364,1,1000000,0.000920868,4.77E-05,0.00447104,15.1579122
19,0.009959336,10,1000000,0.003332078,5.35E-05,0.020576111,5.995096918
20,0.009909729,100,1000000,0.002241956,5.12E-05,0.170166665,5.076572644
21,0.00967142,1000,1000000,0.003509753,5.07E-05,1.968629015,5.261421869
22,0.097010543,1,10000000,0.010677539,5.09E-05,0.005084025,150.8878641
23,0.09675386,10,10000000,0.066171971,5.25E-05,0.025730756,59.89046918
24,0.098148481,100,10000000,0.045971611,5.38E-05,0.173557992,50.60590454
25,0.099264012,1000,10000000,0.037537158,5.27E-05,1.913557776,53.33941202
