,element_count,column_count,array_time,pandas_df_time,pandas_df_compute,spark_df_time,spark_df_compute
0,1,1,2.35E-05,5.32E-05,0.000164965,0.01865488,0.017085419
1,10,1,1.66E-05,9.22E-05,0.000214695,0.021677152,0.015963891
2,10,10,2.52E-05,0.000101372,0.0001292,0.02629059,0.045874383
3,100,1,1.79E-05,9.10E-05,0.000113485,0.019754019,0.009076952
4,100,10,1.08E-05,5.11E-05,0.000180195,0.020883648,0.041944964
5,100,100,1.72E-05,8.95E-05,0.000313205,0.034653104,0.3258654
6,3.35E-05,1,1000,0.000155915,5.19E-05,0.008570276,0.028307514
7,1.96E-05,10,1000,0.0001781,5.15E-05,0.035145136,0.020117924
8,2.93E-05,100,1000,0.000625114,0.000101682,0.259035732,0.030878985
9,2.74E-05,1000,1000,0.004139079,9.64E-05,2.401252449,0.140878936
10,0.00010797,1,10000,0.000132127,5.19E-05,0.004917641,0.163645062
11,0.000106773,10,10000,0.000156631,5.11E-05,0.023452552,0.074982936
12,0.000105966,100,10000,0.000349027,5.06E-05,0.207981306,0.075086259
13,0.000106508,1000,10000,0.002229982,5.14E-05,2.480125028,0.185351185
14,0.001059645,1,100000,0.000467292,5.15E-05,0.005760973,1.542770483
15,0.001056954,10,100000,0.000486536,5.14E-05,0.022856164,0.611302
16,0.001054114,100,100000,0.000689247,5.10E-05,0.205626769,0.53316545
17,0.001094193,1000,100000,0.002659813,5.43E-05,2.440724762,0.668046063
18,0.010504117,1,1000000,0.003476148,5.09E-05,0.005191805,15.17354643
19,0.009962074,10,1000000,0.006150437,5.13E-05,0.024792537,6.008444597
20,0.010109004,100,1000000,0.004581827,5.15E-05,0.203355439,5.117531437
21,0.010032249,1000,1000000,0.006609838,5.15E-05,2.454881737,5.424821051
22,0.098669085,1,10000000,0.033936808,5.15E-05,0.00598955,152.1874122
23,0.09927326,10,10000000,0.13169831,5.18E-05,0.024231889,59.8280613
24,0.099194939,100,10000000,0.071352446,5.17E-05,0.223912997,50.98699531
25,0.100468471,1000,10000000,0.049171162,5.29E-05,2.416230946,53.64523126
