,element_count,column_count,array_time,pandas_df_time,pandas_df_compute,spark_df_time,spark_df_compute
0,1,1,2.31E-05,5.23E-05,0.000599477,0.028121706,0.191605808
1,10,1,1.77E-05,7.99E-05,0.000767411,0.022840007,0.174645525
2,10,10,2.40E-05,7.51E-05,0.000900009,0.031767057,0.177935144
3,100,1,1.47E-05,8.08E-05,0.000746172,0.023604375,0.120187805
4,100,10,1.89E-05,0.000100641,0.000795717,0.025169682,0.127750878
5,100,100,1.55E-05,9.54E-05,0.001297057,0.046967821,0.146680489
6,1000,1000,3.07E-05,0.000100668,0.005300805,0.210489933,0.546671069
7,1000,100,3.20E-05,9.62E-05,0.0014198,0.067825071,0.177063491
8,10000,1000,0.000170162,9.33E-05,0.002702103,0.212359722,0.321946666
9,1000,10,3.21E-05,8.52E-05,0.000911282,0.040850401,0.16809297
10,10000,100,0.000154758,9.47E-05,0.001292638,0.083276453,0.12532725
11,100000,1000,0.001189307,5.74E-05,0.002888786,0.710959316,0.358043587
12,1000,1,4.00E-05,5.22E-05,0.000731664,0.062895516,0.186005902
13,10000,10,0.000108753,5.49E-05,0.00060384,0.084008829,0.12622144
14,100000,100,0.001128784,5.22E-05,0.000845466,0.544421281,0.112690741
15,1000000,1000,0.01028596,5.46E-05,0.004316617,6.023341317,0.501881917
16,10000,1,0.000169005,9.87E-05,0.000993455,0.176808036,0.133336028
17,100000,10,0.001107037,5.19E-05,0.000906769,0.623535404,0.086153927
18,1000000,100,0.010543162,5.19E-05,0.002283369,5.037074542,0.19546479
19,10000000,1000,0.105932491,5.27E-05,0.016490843,52.78127187,1.269634936
20,100000,1,0.001088344,5.22E-05,0.000659168,1.593361982,0.136986288
21,1000000,10,0.015111848,8.09E-05,0.006749613,5.976208939,0.221252698
22,10000000,100,0.105585742,5.18E-05,0.015407445,50.61290392,1.115031242
23,1000000,1,0.010229142,5.42E-05,0.002332493,15.48431906,0.715647994
24,10000000,10,0.106770238,5.28E-05,0.038083173,59.86872715,1.640594912
25,10000000,1,0.10871452,5.17E-05,0.017386562,156.1405402,6.857752875
